"Time period","England Value","95% confidence interval lower limit","95% confidence interval upper limit"
"2011","19.8","19.6","20.1"
"2012","19.3","19.1","19.6"
"2013","18.4","18.1","18.6"
"2014","17.8","17.6","18.1"
"2015","16.9","16.7","17.2"
"2016","15.5","15.3","15.8"
"2017","14.9","14.6","15.1"
"2018","14.4","14.2","14.7"
"2019","13.9","13.6","14.1"
"2020","12.8","12.5","13.1"
"2021","12.1","11.8","12.4"
"2022","11.5","11.2","11.8"
"2023","10.9","10.6","11.2"
"2024","10.4","10.2","10.7"
